Old_name	New_name	Library_name	Population	Position_in_cluster	Genetic_sex_wgs	Read_count	Coverage	Bioproject	REF_Panel	Unrelated	In_lowcov	Comments	lon	lat
CH06	M022090	TSP06	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP06/TSP06.bam	1	214192720	15.0315	PRJNA925445	1	0	0		6.86457845	46.84849794
CH07	M026047	TSP07	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP07/TSP07.bam	1	190833840	13.2081	PRJNA925445	1	0	0		6.532676218	46.61284885
CH08	M005002	TSP08	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP08/TSP08.bam	1	239417582	17.1067	PRJNA925445	1	0	0		6.86457845	46.84849794
CH09	M005030	TSP09	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP09/TSP09.bam	1	223809590	15.9021	PRJNA925445	1	1	0		6.880859807	46.74120658
CH10	M011644	TSP10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP10/TSP10.bam	1	310492854	22.115	PRJNA700797	1	0	0		6.974868397	46.8822815
CH11	M011184	TSP11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP11/TSP11.bam	1	223083891	16.0099	PRJNA925445	1	1	0		7.095256665	46.84872128
CH11A	M011184B	TSP42	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP42/TSP42.bam	1	338817002	23.4341	NA	0	0	0	DUP	7.095256665	46.84872128
CH12	M011743	TSP12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP12/TSP12.bam	2	225500452	16.7256	PRJNA925445	1	1	0		6.980723009	46.9096422
CH13	M011852	TSP13	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP13/TSP13.bam	1	210266888	14.3546	PRJNA925445	1	1	0		6.880925512	46.77155832
CH14	M011769	TSP14	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP14/TSP14.bam	2	392273093	26.1282	PRJNA925445	1	0	0		6.830499729	46.74189399
CH15	M022383	TSP15	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP15/TSP15.bam	1	365121959	25.747	PRJNA700797	1	1	0		7.129791454	46.97675124
CH16	M010956	TSP16	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP16/TSP16.bam	1	190795116	13.2805	PRJNA925445	1	1	0		6.583804688	46.60254773
CH17	M011830	TSP17	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP17/TSP17.bam	1	184275948	13.9395	PRJNA925445	1	0	0		6.552566182	46.67372912
CH18	889332	TSP18	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP18/TSP18.bam	1	358709202	25.5544	PRJNA700797	1	0	0		6.810252306	46.7927991
CH19	889397	TSP19	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP19/TSP19.bam	1	204675900	14.9055	PRJNA925445	1	0	0		6.960980711	46.85797257
CH20	889400	TSP20	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP20/TSP20.bam	1	285487065	20.1548	PRJNA700797	1	1	0		6.889049665	46.8107197
CH21	M022117	TSP21	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP21/TSP21.bam	1	252303750	19.0854	PRJNA700797	1	0	0		6.545128316	46.72832228
CH22	889262	TSP22	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP22/TSP22.bam	1	293087106	21.536	PRJNA700797	1	1	0		6.865377617	46.82639076
CH23	898156	TSP23	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP23/TSP23.bam	1	310981311	22.8289	PRJNA700797	1	1	0		7.098245666	46.8736655
CH24	M011995	TSP24	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP24/TSP24.bam	1	268525667	19.5556	PRJNA925445	1	0	0		6.896205957	46.87684431
CH25	M011867	TSP25	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP25/TSP25.bam	1	329860109	24.1217	PRJNA700797	1	1	0		6.8962912	46.81501821
CH26	M022662	TSP26	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP26/TSP26.bam	1	332542693	23.8572	PRJNA700797	1	1	0		6.581846992	46.66927496
CH27	M011332	TSP27	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP27/TSP27.bam	1	261926756	18.9367	PRJNA925445	1	1	0		6.719783076	46.78112901
CH28	898613	TSP28	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP28/TSP28.bam	1	233230929	16.7209	PRJNA925445	1	0	0		7.129791454	46.97675124
