RingID,Sample_name,Population,Sex,Read_count,Coverage,Bioproject,dataset,Longitude,Latitude
M031707,M031707D4,CH,1,107485894,10.0734,666,LM3,6.95367583149537,46.8740527680069
M031708,M031708E4,CH,2,107330346,9.9664,666,LM3,6.95367583149537,46.8740527680069
M031709,M031709F4,CH,1,109182295,10.2567,666,LM3,6.95367583149537,46.8740527680069
M031715,M031715D11,CH,2,133438189,11.219,666,LM3,6.51201496234096,46.585163247085
M031721,M031721E11,CH,2,133239141,10.5792,666,LM3,6.51201496234096,46.585163247085
M031722,M031722F11,CH,1,123610736,10.1218,666,LM3,6.51201496234096,46.585163247085
M031723,M031723G11,CH,1,128701499,11.0128,666,LM3,6.51201496234096,46.585163247085
M031724,M031724H11,CH,2,126773242,10.0757,666,LM3,6.57643428055014,46.6276722533694
M031760,M031760B6,CH,2,109303744,10.0037,666,LM3;CH,6.90837346201792,46.8708203544548
M031768,M031768,CH,2,115361484,10.9275,666,LM3,6.43110299446778,46.5893698053356
M031770,M031770,CH,1,112131779,10.4895,666,LM3,6.56250609357327,46.5234266549507
M031771,M031771,CH,1,115187446,10.7065,666,LM3,6.59435169810551,46.703661128583
M031772,M031772,CH,1,114837749,10.7133,666,LM3,7.01361833211544,46.8629837775822
M031773,M031773,CH,2,116636007,10.65,666,LM3,6.54540376098002,46.7282794560089
M031800,P2_M031800F5,CH,1,167753723,12.0675,666,LM3;CH,6.81034597776921,46.7926287016098
M031882,M031882C6,CH,1,110117873,10.1672,666,LM3,7.03273487369728,46.8810080726158
M031888,P2_M031888F7,CH,2,154519965,11.714,666,LM3,6.87059406995173,46.8561921996257
M031889,P2_M031889G7,CH,1,144523020,11.2719,666,LM3,6.87059406995173,46.8561921996257
M031890,P2_M031890H7,CH,1,160151478,12.318,666,LM3,6.87059406995173,46.8561921996257
M031891,P2_M031891A8,CH,2,122443223,10.5908,666,LM3,6.88922883155325,46.8381211496562
M031892,P2_M031892B8,CH,2,129964405,9.4456,666,LM3,6.9084311558208,46.8443454910351
M031894,P2_M031894D8,CH,2,161710255,10.9091,666,LM3,7.03291285104386,46.8904628863395
M031895,M031895B2,CH,1,118038973,11.1082,666,LM3,6.89650557874618,46.8770526244646
M031901,M031901A12,CH,2,136152829,11.2244,666,LM3,6.88469,46.87809
M031969,M031969,CH,2,116724327,12.7954,666,,6.88469,46.87809
M032002,M032002H,CH,1,366212001,31.191,666,,6.5524877754769,46.6737285106857
M032003,P2_M032003E7,CH,1,160940578,12.0252,666,LM3,7.13043372053794,46.9770498149603
M032015,M032015A4,CH,2,114311525,10.5069,666,LM3,7.13043372053794,46.9770498149603
M032022,M032022,CH,1,117437019,11.2992,666,LM3,6.84816427016967,46.7156742017986
M032023,M032023,CH,2,118326734,10.9949,666,LM3,6.90898786818808,46.8537047006285
M032024,M032024,CH,2,116392939,10.9043,666,LM3,6.92625743443526,46.8702091656185
M032025,P3_M032025C5,CH,1,136547650,9.0458,666,LM3,6.84778562308615,46.8295912219986
M032051,M032051B1,CH,1,108508374,11.5757,666,LM3,6.86444763120679,46.8484702959729
M032108,M032108B5,CH,1,108436002,10.0415,666,LM3,6.88085980716096,46.7412065839802
M032119,M032119A10,CH,2,152647935,11.6197,666,LM3,6.88085980716096,46.7412065839802
M032120,M032120B10,CH,1,134039704,10.3719,666,LM3,6.99183146675281,46.8080731661794
M032121,M032121C10,CH,2,138932774,11.3509,666,LM3,6.54966670851362,46.621996867297
M032122,M032122D10,CH,2,136173330,11.0628,666,LM3,6.54966670851362,46.621996867297
M032123,M032123E10,CH,2,128579224,10.3443,666,LM3,6.54966670851362,46.621996867297
M032124,M032124H,CH,2,353124962,28.9042,666,CH,6.5524877754769,46.6737285106857
